Colegiado;Componente
124623;333
84206;75229
76786;28796
76789;41279
2159;334
2159;2981
76789;45800
84206;4243
76789;20581
89630;72080
76790;41275
76790;50234
84206;2055
3319;2837
3319;263
3319;244
3319;304
3319;2844
3319;1926
3319;2981
76790;41388
89630;8842
76791;41319
1023;2837
76791;53591
84206;75234
76791;34294
76724;35735
3498;42670
76724;35758
84206;2058
90737;2028
76793;53066
84206;8
90737;2029
90737;3520
90737;80968
2764;1934
1023;36670
89630;81025
89630;2118
77997;134
77996;134
77996;94
77996;41066
77996;1929
77996;2981
75700;14
4402;1930
7201;17125
32101;467
32098;467
32098;26119
25376;3200
78067;2981
1023;41066
2259;2837
32098;32100
39758;42670
2159;41066
32098;32099
32099;32102
32099;26119
32099;32287
32099;32123
32099;32770
32100;32102
32100;26119
32100;32213
32100;32214
32100;32282
32100;32770
32100;32738
78067;3162
78067;235
78067;1696
78139;25
78096;44813
78096;77415
78096;44987
7201;2
96337;1988
121335;3162
121335;1929
121335;1988
121335;263
121427;333
121427;704
121427;54844
121427;54793
83276;304
121428;1801
78096;44988
78096;1799
78096;73212
78096;68487
121428;1926
15400;1977
25430;1977
78096;173
78096;1927
78096;1945
76814;346
76814;982
76814;240
76814;470
76814;426
36276;1977
93905;54844
1018;48
78225;78055
78225;3152
78225;3236
78225;42802
78225;3245
78225;2034
78225;3270
13297;417
16478;41066
78225;3517
41036;316
41036;1988
41036;3159
41036;1926
41036;244
41036;36670
41036;1930
41036;304
41036;2844
41036;2846
41036;2837
1557;316
44211;17125
43072;8836
43072;41109
43072;2034
43072;42802
43072;3205
43072;3413
43072;3234
16534;16535
76710;41358
83299;244
2564;3517
2564;2
76710;54359
16534;44294
16534;44290
16534;44291
16534;44292
16534;44293
16534;16543
123562;106084
16534;16547
16534;16549
16534;16591
103208;73992
16534;16605
16534;16610
16534;16611
16532;16535
16532;44284
16532;44290
16532;44291
16532;44293
16532;44294
16532;16543
123562;106092
16532;16547
16532;16549
16532;16591
103643;244
16532;16605
16532;16610
16532;16611
1950;9053
1950;324
1950;704
76710;34324
83299;1988
76740;41337
77695;72083
77695;68487
77695;73212
77695;72082
9;2837
9;3159
11490;444
110105;17125
19235;68487
44638;41581
77695;93
77695;91
77695;2
77695;172
77695;171
77695;224
77695;46876
36217;27
44396;1799
44396;14
44396;2844
44396;244
44396;304
44396;42670
44396;1927
9;304
44396;17125
13461;1930
117159;117159
44638;120869
44832;1799
88855;46876
74617;46038
74617;54171
74618;1812
74618;54171
74618;46038
74649;1812
74649;25
74649;2207
76136;2837
76136;244
76136;304
76136;2844
76136;1988
9181;48
45007;1799
26789;26
45007;466
76136;1927
76136;1945
76136;42672
76136;3162
78067;2846
76136;1801
76136;2
76136;91
75609;982
75609;13866
44638;120401
78225;3271
78225;72567
45008;466
45008;4039
45076;2837
45076;1929
45076;93
5;2844
5;41066
1784;1787
1784;1726
1784;6
1784;1788
1784;1727
44638;110015
121597;14
121597;2837
78225;3200
78225;3234
78225;44813
71511;704
45076;14
110105;1945
110105;46876
121597;1929
121597;17125
88855;185
79693;1929
79693;263
121596;14
121596;2837
121596;1929
121596;17125
79693;3162
102336;50
102336;68
102336;58
102336;63
102336;345
102336;51
1023;42670
102336;53
102336;955
102336;58527
123562;84812
123562;2452
123562;83602
121667;108178
103643;100906
103642;100906
105191;94430
121667;92767
121667;93067
121667;92753
79693;1926
352;166
352;2846
352;41066
352;42670
79693;1988
107376;2037
107376;3231
79693;2844
79693;324
32415;2837
32415;2981
45427;470
79693;704
68265;315
68265;470
41926;41066
76610;76608
1023;42673
29217;185
121667;92751
121697;72083
121697;1927
121697;2844
229;478
13402;2041
121697;41066
121697;1988
121697;3162
80005;46876
80005;14
80005;42670
80005;2981
80006;1927
80006;8838
80006;46876
121698;72083
80006;2846
121698;1927
80006;2852
121698;2844
14664;244
121698;41066
80019;1927
80019;8838
80019;46876
80019;2852
80019;316
121698;1988
80019;2981
121698;3162
77320;74011
77320;240
80486;316
91835;86567
43577;704
121733;316
1702;3234
72078;121813
88984;304
88984;74931
88984;74933
88984;74932
88984;23666
88984;1989
74589;41066
83299;3159
83299;1926
58490;73212
84206;1
84206;223
75700;2852
84219;3995
84219;46847
84219;25
43590;2836
43582;2828
43580;2826
43579;2825
43587;2833
43581;2827
43576;2822
88984;3273
29217;316
43570;316
43574;316
43575;316
43586;316
1932;73212
33401;2846
105359;2837
43588;316
84219;1812
84219;421
84219;419
46184;1872
1023;3205
84219;420
84219;67671
84219;422
9972;1930
105359;14
84219;462
84219;424
8870;263
8870;2034
8870;264
8870;3139
8870;3138
8870;1990
84219;463
13419;1930
9972;3
30953;42670
3171;3517
3171;2031
3171;2033
3171;2032
3171;3139
3171;1696
3171;1987
3171;20777
7211;3517
46450;1799
46451;1799
84219;423
84219;418
84219;429
84219;431
84219;464
84231;757
84231;3200
84231;3520
84231;2035
84231;3214
84231;81088
72612;1913
72612;51163
6573;42673
122507;244
76757;51981
84231;16
76757;51987
76757;51969
72612;51162
110105;1926
71515;2829
72078;26
72078;72082
72078;2837
1992;2981
72078;42673
72078;27
72078;1929
2042;478
7211;2981
7211;263
7211;14
7211;2852
7211;1988
7211;3159
7211;41066
7211;42670
7211;2846
7211;17125
7211;42672
7211;118
7211;211
7211;10900
4246;41066
76767;41332
45738;17125
45738;14
45738;2981
45738;3162
45738;1929
45738;1927
45738;36670
45738;2
45738;1799
2874;3271
2874;2862
2874;221
2874;304
2874;1930
2874;2844
2874;21930
72078;2981
72078;3162
72078;1945
72078;2844
110105;316
57549;316
1932;72083
103856;1013
262;261
84231;2064
76767;56183
76767;21670
102145;4467
46641;185
